output_01-1.40-04-0.05.jpeg: 3.1s
output_02-1.40-04-0.05.jpeg: 5.1s
output_03-1.40-04-0.05.jpeg: 6.2s
output_04-1.40-04-0.05.jpeg: 6.8s
output_05-1.40-04-0.05.jpeg: 7.1s
output_06-1.40-04-0.05.jpeg: 7.4s
output_07-1.40-04-0.05.jpeg: 7.5s
output_08-1.40-04-0.05.jpeg: 7.6s
output_08-1.40-04-0.05.jpeg: 7.5s
output_09-1.40-04-0.05.jpeg: 7.6s
output_10-1.40-04-0.05.jpeg: 7.7s
output_10-1.10-04-0.05.jpeg: 18.6s
output_10-1.20-04-0.05.jpeg: 12.2s
output_10-1.30-04-0.05.jpeg: 9.2s
output_10-1.40-04-0.05.jpeg: 7.7s
output_10-1.40-01-0.01.jpeg: 2.9s
output_10-1.40-02-0.01.jpeg: 4.5s
output_10-1.40-03-0.01.jpeg: 6.1s
output_10-1.40-04-0.01.jpeg: 7.7s
output_10-1.40-05-0.01.jpeg: 9.3s
output_10-1.40-10-0.01.jpeg: 17.4s
output_10-1.40-15-0.01.jpeg: 25.4s
output_10-1.40-18-0.01.jpeg: 30.4s
output_10-1.40-19-0.01.jpeg: 31.8s
output_10-1.40-20-0.01.jpeg: 33.6s
output_10-1.40-20-0.01.jpeg: 33.6s
output_10-1.40-20-0.02.jpeg: 33.6s
output_10-1.40-20-0.10.jpeg: 33.6s
output_10-1.40-20-0.20.jpeg: 33.6s
output_10-1.40-20-0.01.jpeg: 33.6s
output_10-1.40-10-0.02.jpeg: 17.4s
output_10-1.40-05-0.04.jpeg: 9.4s
